No.,Time,Load,Disp,Strength,Strain
,[sec],[kN],[mm],[kN/mm²],[%]
1,0,0,0,0,0
2,0.005,0.15,0.008,0,0
3,0.007,0.16,0.008,0,0
4,0.014,0.16,0.009,0,0
5,0.027,0.17,0.01,0,0
6,0.043,0.18,0.011,0,0
7,0.05,0.18,0.011,0,0
8,0.059,0.19,0.012,0,0
9,0.067,0.19,0.012,0,0
10,0.075,0.2,0.014,0,0
11,0.091,0.21,0.015,0,0
12,0.107,0.21,0.016,0,0
13,0.111,0.22,0.016,0,0
14,0.13,0.23,0.016,0.001,0
15,0.146,0.24,0.016,0.001,0
16,0.155,0.24,0.016,0.001,0
17,0.175,0.26,0.016,0.001,0
18,0.195,0.27,0.016,0.001,0
19,0.219,0.28,0.016,0.001,0
20,0.243,0.29,0.016,0.001,0
21,0.267,0.3,0.016,0.001,0
22,0.307,0.31,0.016,0.001,0
23,0.349,0.31,0.017,0.001,0
24,0.701,0.31,0.018,0.001,0
25,0.811,0.32,0.018,0.001,0
26,0.995,0.32,0.019,0.001,0
27,1.243,0.32,0.02,0.001,0
28,1.269,0.33,0.02,0.001,0
29,1.475,0.33,0.021,0.001,0
30,1.571,0.34,0.021,0.001,0
31,1.674,0.34,0.021,0.001,0
32,1.873,0.34,0.023,0.001,0
33,1.891,0.35,0.023,0.001,0
34,2.047,0.35,0.024,0.001,0
35,2.152,0.36,0.024,0.001,0
36,2.223,0.36,0.025,0.001,0
37,2.383,0.36,0.026,0.001,0
38,2.387,0.37,0.026,0.001,0
39,2.541,0.37,0.027,0.001,0
40,2.614,0.38,0.027,0.001,0
41,2.683,0.38,0.028,0.001,0
42,2.833,0.38,0.029,0.001,0
43,2.835,0.39,0.029,0.001,0
44,2.966,0.39,0.03,0.001,0
45,3.019,0.4,0.03,0.001,0
46,3.103,0.4,0.031,0.001,0
47,3.216,0.4,0.031,0.001,0
48,3.233,0.41,0.032,0.001,0
49,3.361,0.41,0.033,0.001,0
50,3.391,0.41,0.033,0.001,0
51,3.481,0.42,0.034,0.001,0
52,3.589,0.43,0.034,0.001,0
53,3.603,0.43,0.035,0.001,0
54,3.721,0.43,0.036,0.001,0
55,3.782,0.44,0.036,0.001,0
56,3.835,0.44,0.037,0.001,0
57,3.931,0.45,0.037,0.001,0
58,3.947,0.45,0.038,0.001,0
59,4.058,0.45,0.039,0.001,0
60,4.066,0.46,0.039,0.001,0
61,4.163,0.46,0.04,0.001,0
62,4.227,0.47,0.04,0.001,0
63,4.271,0.47,0.041,0.001,0
64,4.377,0.47,0.042,0.001,0
65,4.395,0.48,0.042,0.001,0
66,4.479,0.48,0.043,0.001,0
67,4.549,0.49,0.043,0.001,0
68,4.579,0.49,0.044,0.001,0
69,4.679,0.49,0.045,0.001,0
70,4.691,0.5,0.045,0.001,0
71,4.775,0.5,0.046,0.001,0
72,4.841,0.51,0.046,0.001,0
73,4.877,0.51,0.047,0.001,0
74,4.968,0.52,0.048,0.001,0
75,5.065,0.52,0.049,0.001,0
76,5.107,0.53,0.049,0.001,0
77,5.151,0.53,0.05,0.001,0
78,5.247,0.54,0.051,0.001,0
79,5.331,0.54,0.052,0.001,0
80,5.377,0.55,0.052,0.001,0
81,5.425,0.55,0.053,0.001,0
82,5.505,0.56,0.053,0.001,0
83,5.51,0.56,0.054,0.001,0
84,5.596,0.56,0.054,0.001,0
85,5.627,0.57,0.055,0.001,0
86,5.685,0.57,0.056,0.001,0
87,5.749,0.57,0.056,0.001,0
88,5.769,0.58,0.057,0.001,0
89,5.852,0.58,0.058,0.001,0
90,5.87,0.59,0.058,0.001,0
91,5.938,0.59,0.059,0.001,0
92,5.999,0.6,0.059,0.001,0
93,6.015,0.6,0.06,0.001,0
94,6.099,0.6,0.061,0.001,0.001
95,6.123,0.61,0.061,0.001,0.001
96,6.179,0.61,0.062,0.001,0.001
97,6.237,0.62,0.062,0.001,0.001
98,6.261,0.62,0.063,0.001,0.001
99,6.339,0.62,0.064,0.001,0.001
100,6.361,0.63,0.064,0.001,0.001
101,6.418,0.63,0.064,0.001,0.001
102,6.479,0.64,0.065,0.001,0.001
103,6.497,0.64,0.066,0.001,0.001
104,6.571,0.64,0.067,0.001,0.001
105,6.593,0.65,0.067,0.001,0.001
106,6.649,0.65,0.068,0.001,0.001
107,6.697,0.66,0.068,0.001,0.001
108,6.723,0.66,0.069,0.001,0.001
109,6.799,0.66,0.07,0.001,0.001
110,6.811,0.67,0.07,0.001,0.001
111,6.876,0.67,0.071,0.001,0.001
112,6.934,0.68,0.071,0.002,0.001
113,6.946,0.68,0.072,0.002,0.001
114,7.023,0.68,0.073,0.002,0.001
115,7.053,0.69,0.073,0.002,0.001
116,7.091,0.69,0.073,0.002,0.001
117,7.159,0.7,0.074,0.002,0.001
118,7.167,0.7,0.075,0.002,0.001
119,7.239,0.7,0.076,0.002,0.001
120,7.267,0.71,0.076,0.002,0.001
121,7.313,0.71,0.077,0.002,0.001
122,7.381,0.72,0.078,0.002,0.001
123,7.45,0.72,0.079,0.002,0.001
124,7.475,0.73,0.079,0.002,0.001
125,7.522,0.73,0.08,0.002,0.001
126,7.575,0.74,0.08,0.002,0.001
127,7.593,0.74,0.081,0.002,0.001
128,7.659,0.74,0.082,0.002,0.001
129,7.687,0.75,0.082,0.002,0.001
130,7.729,0.75,0.083,0.002,0.001
131,7.796,0.76,0.084,0.002,0.001
132,7.863,0.76,0.085,0.002,0.001
133,7.895,0.77,0.085,0.002,0.001
134,7.931,0.77,0.086,0.002,0.001
135,7.989,0.78,0.086,0.002,0.001
136,8.001,0.78,0.087,0.002,0.001
137,8.062,0.78,0.088,0.002,0.001
138,8.08,0.79,0.088,0.002,0.001
139,8.131,0.79,0.089,0.002,0.001
140,8.187,0.8,0.089,0.002,0.001
141,8.195,0.8,0.09,0.002,0.001
142,8.259,0.8,0.091,0.002,0.001
143,8.289,0.81,0.091,0.002,0.001
144,8.325,0.81,0.092,0.002,0.001
145,8.39,0.82,0.093,0.002,0.001
146,8.45,0.82,0.094,0.002,0.001
