No.,Time,Load,Disp,Strength,Strain
1,0,0,0,0,0
2,0.104,0.2,0.014,0,0
3,0.22,0.26,0.017,0.001,0
4,0.314,0.29,0.021,0.001,0
5,0.402,0.31,0.024,0.001,0
6,0.522,0.33,0.028,0.001,0
7,0.616,0.35,0.031,0.001,0
8,0.702,0.37,0.033,0.001,0
9,0.824,0.4,0.038,0.001,0
10,0.914,0.42,0.041,0.001,0
11,1.001,0.44,0.044,0.001,0
12,1.124,0.47,0.048,0.001,0
13,1.214,0.49,0.051,0.001,0
14,1.302,0.51,0.054,0.001,0
15,1.402,0.54,0.057,0.001,0
16,1.514,0.56,0.061,0.001,0
17,1.602,0.58,0.064,0.001,0
18,1.704,0.61,0.067,0.001,0
19,1.816,0.63,0.071,0.001,0
20,1.901,0.65,0.074,0.001,0
21,2.008,0.68,0.077,0.002,0
22,2.113,0.7,0.081,0.002,0
23,2.202,0.72,0.084,0.002,0
24,2.306,0.75,0.087,0.002,0.001
25,2.414,0.77,0.091,0.002,0.001
26,2.501,0.79,0.094,0.002,0.001
27,2.614,0.82,0.097,0.002,0.001
28,2.705,0.84,0.1,0.002,0.001
29,2.804,0.86,0.104,0.002,0.001
30,2.922,0.88,0.108,0.002,0.001
31,3.016,0.91,0.111,0.002,0.001
32,3.102,0.93,0.114,0.002,0.001
33,3.222,0.94,0.118,0.002,0.001
34,3.314,0.95,0.121,0.002,0.001
35,3.401,0.97,0.124,0.002,0.001
36,3.514,1,0.127,0.002,0.001
37,3.614,1.02,0.131,0.002,0.001
38,3.701,1.04,0.134,0.002,0.001
39,3.824,1.07,0.138,0.002,0.001
40,3.908,1.1,0.14,0.002,0.001
41,4.004,1.12,0.144,0.002,0.001
42,4.104,1.15,0.147,0.003,0.001
43,4.215,1.17,0.151,0.003,0.001
44,4.3,1.2,0.153,0.003,0.001
45,4.418,1.23,0.157,0.003,0.001
46,4.515,1.25,0.161,0.003,0.001
47,4.602,1.27,0.164,0.003,0.001
48,4.723,1.3,0.168,0.003,0.001
49,4.808,1.33,0.17,0.003,0.001
50,4.904,1.35,0.174,0.003,0.001
51,5.001,1.38,0.177,0.003,0.001
52,5.114,1.4,0.181,0.003,0.001
53,5.204,1.43,0.184,0.003,0.001
54,5.313,1.46,0.187,0.003,0.001
55,5.414,1.48,0.191,0.003,0.001
56,5.504,1.51,0.194,0.003,0.001
57,5.62,1.54,0.197,0.003,0.001
58,5.713,1.56,0.201,0.003,0.001
59,5.802,1.58,0.204,0.004,0.001
60,5.924,1.61,0.208,0.004,0.001
61,6.002,1.64,0.21,0.004,0.001
62,6.101,1.66,0.214,0.004,0.001
63,6.201,1.69,0.217,0.004,0.001
64,6.314,1.71,0.22,0.004,0.001
65,6.402,1.74,0.224,0.004,0.001
66,6.501,1.77,0.227,0.004,0.001
67,6.616,1.79,0.231,0.004,0.001
68,6.702,1.82,0.234,0.004,0.001
69,6.814,1.85,0.237,0.004,0.001
70,6.913,1.87,0.241,0.004,0.001
71,7.004,1.89,0.244,0.004,0.001
72,7.123,1.93,0.248,0.004,0.001
73,7.213,1.95,0.251,0.004,0.001
74,7.301,1.97,0.254,0.004,0.001
75,7.424,2,0.258,0.004,0.002
76,7.502,2.03,0.26,0.005,0.002
77,7.601,2.05,0.264,0.005,0.002
78,7.723,2.08,0.268,0.005,0.002
79,7.802,2.11,0.27,0.005,0.002
80,7.904,2.13,0.274,0.005,0.002
81,8.021,2.16,0.278,0.005,0.002
82,8.109,2.19,0.28,0.005,0.002
83,8.204,2.21,0.284,0.005,0.002
84,8.301,2.23,0.287,0.005,0.002
85,8.413,2.26,0.29,0.005,0.002
86,8.505,2.29,0.294,0.005,0.002
87,8.608,2.32,0.297,0.005,0.002
88,8.716,2.34,0.301,0.005,0.002
89,8.807,2.37,0.304,0.005,0.002
