EI,Moment,Beta
6.85,0.71,1
6.832471143,0.72,0.98
6.781322643,0.73,0.97
6.729982965,0.74,0.95
6.678409728,0.75,0.94
6.626551159,0.76,0.92
6.574344008,0.77,0.91
6.521711003,0.78,0.9
6.468557744,0.79,0.88
6.414768904,0.8,0.86
6.360203592,0.81,0.85
6.304689684,0.82,0.83
6.248016902,0.83,0.82
6.189928353,0.84,0.8
6.130110202,0.85,0.79
6.068179039,0.86,0.76
6.003666468,0.87,0.75
5.936000256,0.88,0.72
5.864481327,0.89,0.71
5.788255635,0.9,0.68
5.706279816,0.91,0.67
5.617279218,0.92,0.64
5.519696634,0.93,0.63
5.411629666,0.94,0.6
5.290754203,0.95,0.59
5.154230942,0.96,0.55
4.998591181,0.97,0.54
4.819597299,0.98,0.5
4.612072305,0.99,0.47
4.369691609,1,0.43
4.084728625,1.01,0.4
3.74774399,1.02,0.37
3.347205881,1.03,0.33
2.869026179,1.04,0.28
2.295993801,1.05,0.23
1.607082423,1.06,0.16
0.776604742,1.07,0.01
