M (kNm),EI
0.716145833,6.660582527
0.74421875,6.644810268
0.771145833,6.598346044
0.796927083,6.522468688
0.8215625,6.418457031
0.845052083,6.287589906
0.867395833,6.131146143
0.88859375,5.950404576
0.908645833,5.746644035
0.927552083,5.521143353
0.9453125,5.275181362
0.961927083,5.010036892
0.977395833,4.726988777
0.984700521,4.579150488
1.016927083,3.783210875
1.037552083,3.087952629
1.051839193,2.445682647
1.070638021,0.995757088
1.073323568,0.499127403
1.073994954,0.249719809
1.074182943,0.099905408
