No.,Time,Load,Disp,Strength,Strain
,[sec],[kN],[mm],[kN/mm²],[%]
1,0,0,0,0,0
2,0.107,0.21,0.016,0,0
3,0.219,0.28,0.016,0.001,0
4,0.307,0.31,0.016,0.001,0
5,0.701,0.31,0.018,0.001,0
6,0.811,0.32,0.018,0.001,0
7,0.995,0.32,0.019,0.001,0
8,1.243,0.32,0.02,0.001,0
9,1.269,0.33,0.02,0.001,0
10,1.475,0.33,0.021,0.001,0
11,1.571,0.34,0.021,0.001,0
12,1.674,0.34,0.021,0.001,0
13,1.873,0.34,0.023,0.001,0
14,1.891,0.35,0.023,0.001,0
15,2.047,0.35,0.024,0.001,0
16,2.152,0.36,0.024,0.001,0
17,2.223,0.36,0.025,0.001,0
18,2.383,0.36,0.026,0.001,0
19,2.387,0.37,0.026,0.001,0
20,2.541,0.37,0.027,0.001,0
21,2.614,0.38,0.027,0.001,0
22,2.683,0.38,0.028,0.001,0
23,2.833,0.38,0.029,0.001,0
24,2.835,0.39,0.029,0.001,0
25,2.966,0.39,0.03,0.001,0
26,3.019,0.4,0.03,0.001,0
27,3.103,0.4,0.031,0.001,0
28,3.216,0.4,0.031,0.001,0
29,3.233,0.41,0.032,0.001,0
30,3.361,0.41,0.033,0.001,0
31,3.391,0.41,0.033,0.001,0
32,3.481,0.42,0.034,0.001,0
33,3.589,0.43,0.034,0.001,0
34,3.603,0.43,0.035,0.001,0
35,3.721,0.43,0.036,0.001,0
36,3.782,0.44,0.036,0.001,0
37,3.835,0.44,0.037,0.001,0
38,3.931,0.45,0.037,0.001,0
39,3.947,0.45,0.038,0.001,0
40,4.058,0.45,0.039,0.001,0
41,4.066,0.46,0.039,0.001,0
42,4.163,0.46,0.04,0.001,0
43,4.227,0.47,0.04,0.001,0
44,4.377,0.47,0.042,0.001,0
45,4.479,0.48,0.043,0.001,0
46,4.549,0.49,0.043,0.001,0
47,4.679,0.49,0.045,0.001,0
48,4.775,0.5,0.046,0.001,0
49,4.841,0.51,0.046,0.001,0
50,4.968,0.52,0.048,0.001,0
51,5.065,0.52,0.049,0.001,0
52,5.107,0.53,0.049,0.001,0
53,5.247,0.54,0.051,0.001,0
54,5.331,0.54,0.052,0.001,0
55,5.425,0.55,0.053,0.001,0
56,5.505,0.56,0.053,0.001,0
57,5.627,0.57,0.055,0.001,0
58,5.749,0.57,0.056,0.001,0
59,5.852,0.58,0.058,0.001,0
60,5.938,0.59,0.059,0.001,0
61,6.015,0.6,0.06,0.001,0
62,6.123,0.61,0.061,0.001,0.001
63,6.237,0.62,0.062,0.001,0.001
64,6.339,0.62,0.064,0.001,0.001
65,6.418,0.63,0.064,0.001,0.001
66,6.571,0.64,0.067,0.001,0.001
67,6.649,0.65,0.068,0.001,0.001
68,6.723,0.66,0.069,0.001,0.001
69,6.811,0.67,0.07,0.001,0.001
70,6.934,0.68,0.071,0.002,0.001
71,7.023,0.68,0.073,0.002,0.001
72,7.159,0.7,0.074,0.002,0.001
73,7.239,0.7,0.076,0.002,0.001
74,7.313,0.71,0.077,0.002,0.001
75,7.45,0.72,0.079,0.002,0.001
76,7.522,0.73,0.08,0.002,0.001
77,7.659,0.74,0.082,0.002,0.001
78,7.729,0.75,0.083,0.002,0.001
79,7.863,0.76,0.085,0.002,0.001
80,7.931,0.77,0.086,0.002,0.001
81,8.001,0.78,0.087,0.002,0.001
82,8.131,0.79,0.089,0.002,0.001
83,8.259,0.8,0.091,0.002,0.001
84,8.325,0.81,0.092,0.002,0.001
85,8.45,0.82,0.094,0.002,0.001
86,8.522,0.83,0.095,0.002,0.001
87,8.643,0.84,0.097,0.002,0.001
88,8.707,0.85,0.098,0.002,0.001
89,8.831,0.86,0.1,0.002,0.001
90,8.954,0.88,0.102,0.002,0.001
91,9.014,0.88,0.103,0.002,0.001
92,9.131,0.9,0.104,0.002,0.001
93,9.219,0.91,0.106,0.002,0.001
94,9.317,0.92,0.108,0.002,0.001
95,9.407,0.93,0.109,0.002,0.001
96,9.55,0.94,0.112,0.002,0.001
97,9.613,0.94,0.113,0.002,0.001
98,9.727,0.94,0.115,0.002,0.001
99,9.842,0.95,0.117,0.002,0.001
100,9.949,0.97,0.118,0.002,0.001
101,10.011,0.97,0.12,0.002,0.001
102,10.115,0.99,0.121,0.002,0.001
103,10.237,1,0.124,0.002,0.001
104,10.346,1.01,0.126,0.002,0.001
105,10.405,1.02,0.127,0.002,0.001
106,10.511,1.04,0.129,0.002,0.001
107,10.619,1.05,0.131,0.002,0.001
108,10.728,1.06,0.133,0.002,0.001
109,10.806,1.08,0.134,0.002,0.001
110,10.943,1.1,0.137,0.002,0.001
111,11.015,1.11,0.138,0.002,0.001
112,11.154,1.12,0.141,0.002,0.001
113,11.203,1.13,0.142,0.003,0.001
114,11.311,1.15,0.144,0.003,0.001
115,11.417,1.16,0.146,0.003,0.001
116,11.505,1.18,0.147,0.003,0.001
117,11.618,1.19,0.15,0.003,0.001
118,11.709,1.21,0.151,0.003,0.001
119,11.823,1.22,0.154,0.003,0.001
120,11.911,1.24,0.155,0.003,0.001
121,12.026,1.25,0.158,0.003,0.001
122,12.107,1.27,0.159,0.003,0.001
123,12.227,1.28,0.162,0.003,0.001
124,12.308,1.3,0.163,0.003,0.001
125,12.422,1.31,0.166,0.003,0.001
126,12.502,1.33,0.167,0.003,0.001
127,12.621,1.34,0.17,0.003,0.001
128,12.721,1.36,0.172,0.003,0.001
129,12.81,1.38,0.173,0.003,0.001
130,12.911,1.39,0.176,0.003,0.001
131,13.007,1.41,0.178,0.003,0.001
132,13.105,1.42,0.18,0.003,0.001
133,13.246,1.45,0.183,0.003,0.002
134,13.307,1.46,0.184,0.003,0.002
135,13.429,1.48,0.186,0.003,0.002
136,13.535,1.49,0.189,0.003,0.002
137,13.602,1.5,0.19,0.003,0.002
138,13.722,1.52,0.193,0.003,0.002
139,13.817,1.54,0.195,0.003,0.002
140,13.909,1.55,0.197,0.003,0.002
141,14.026,1.58,0.199,0.004,0.002
142,14.138,1.59,0.201,0.004,0.002
143,14.205,1.61,0.203,0.004,0.002
